"lake_id","site_id","visit","site_depth","site_wgt","lat","long","site_depth_units","site_wgt_units","sample_start","sample_end","chla_collection_date"
1008,"12",1,23.3,0.974,"39.504460"," -84.042506","m","dimensionless",2016-06-16,2016-06-17,2016-06-16
1008,"32",1,0.9,0.096,"39.548405"," -83.979548","m","dimensionless",2016-06-16,2016-06-17,2016-06-16
1008,"33",1,6.2,0.096,"39.538723"," -83.987843","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"34",1,3.9,0.096,"39.539366"," -83.983181","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"35",1,3.7,0.096,"39.544555"," -83.978843","m","dimensionless",2016-06-16,2016-06-17,NA
1008,"36",1,2.7,0.096,"39.540898"," -83.980471","m","dimensionless",2016-06-16,2016-06-17,NA
1009,"1",1,9.9,0.273333333333333,"37.225693"," -82.982098","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"2",1,7.6,0.273333333333333,"37.230158"," -82.985450","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"3",1,3.6,0.1675,"37.231815"," -83.005765","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"4",1,8.5,0.1675,"37.227754"," -83.030662","m","dimensionless",2016-08-22,2016-08-23,2016-08-22
1009,"5",1,4.9,0.273333333333333,"37.220677"," -82.977481","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"6",1,1.6,0.1675,"37.231646"," -83.014062","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"7",1,4.6,0.1675,"37.230391"," -83.005986","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"29",1,2.2,0.0733333333333333,"37.235479"," -82.954915","m","dimensionless",2016-08-22,2016-08-23,2016-08-22
1009,"30",1,1.8,0.0733333333333333,"37.231453"," -82.957041","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"31",1,3.9,0.0733333333333333,"37.232650"," -82.999854","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"32",1,11.2,0.08,"37.240568"," -82.997711","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"33",1,2.2,0.0733333333333333,"37.237218"," -82.954671","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"34",1,3.3,0.0733333333333333,"37.232323"," -82.956629","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"35",1,2.1,0.0733333333333333,"37.230127"," -82.971543","m","dimensionless",2016-08-22,2016-08-23,NA
1009,"36",1,12.6,0.08,"37.238944"," -82.997549","m","dimensionless",2016-08-22,2016-08-23,NA
1010,"1",1,13.7,1.8925,"38.047530"," -83.497095","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"2",1,9.1,1.8925,"38.050652"," -83.492695","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"3",1,12.5,1.652,"38.084985"," -83.473835","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"4",1,NA,1.25333333333333,"38.105958"," -83.522672","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"5",1,12.2,1.652,"38.068195"," -83.516358","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"6",1,5.5,1.25333333333333,"38.088693"," -83.547515","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"7",1,17,1.25333333333333,"38.116690"," -83.519453","m","dimensionless",2016-08-08,2016-08-09,2016-08-09
1010,"8",1,9.4,1.25333333333333,"38.088977"," -83.532062","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"9",1,10.7,1.8925,"38.060430"," -83.488721","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"10",1,9.1,1.652,"38.084594"," -83.455550","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"11",1,18,1.25333333333333,"38.107553"," -83.516397","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"12",1,3,1.652,"38.077921"," -83.499047","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"13",1,11.3,1.8925,"38.061920"," -83.487933","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"14",1,11.6,1.652,"38.082095"," -83.485723","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"15",1,14.9,1.25333333333333,"38.098003"," -83.526014","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"46",1,2.4,0.28,"37.934681"," -83.348046","m","dimensionless",2016-08-08,2016-08-09,2016-08-09
1010,"47",1,8,0.845,"38.018925"," -83.451223","m","dimensionless",2016-08-08,2016-08-09,NA
