"lake_id","name","value","units"
64,"gnis_id","1771346",NA
64,"lagoslakeid","6582",NA
64,"hylak_id","1052823",NA
64,"nid_id","CT00598",NA
65,"nla17_site_id","NLA17_VT-10019",NA
65,"nla22_site_id","NLA22_VT-10013",NA
65,"nhdplus_comid","6777539",NA
65,"lagoslakeid","5519",NA
65,"nid_id","VT00116",NA
66,"nla17_site_id","NLA17_MA-10002",NA
66,"nla12_site_id","NLA12_MA-102",NA
66,"nhdplus_comid","6126713",NA
66,"gnis_id","612499",NA
66,"lagoslakeid","73599",NA
66,"nid_id","MA00815",NA
238,"nla17_site_id","NLA17_OR-10003",NA
238,"nla12_site_id","NLA12_OR-112",NA
238,"nla07_site_id","NLA06608-0933",NA
238,"nhdplus_comid","23422703",NA
238,"gnis_id","1117569",NA
238,"lagoslakeid","464740",NA
238,"hylak_id","110691",NA
238,"grand_id","383",NA
238,"nid_id","OR00589",NA
239,"nla12_site_id","NLA12_OR-105",NA
239,"nla07_site_id","NLA06608-0881",NA
239,"nhdplus_comid","24215523",NA
239,"gnis_id","1132099",NA
239,"lagoslakeid","464221",NA
239,"hylak_id","109970",NA
239,"grand_id","367",NA
239,"nid_id","OR00577",NA
249,"nla17_site_id","NLA17_OR-10004",NA
249,"nla12_site_id","NLA12_OR-113",NA
249,"nhdplus_comid","23934034",NA
249,"gnis_id","1120500",NA
249,"lagoslakeid","469968",NA
249,"hylak_id","111445",NA
249,"grand_id","114",NA
249,"nid_id","OR00581",NA
253,"nla17_site_id","NLA17_ID-10001",NA
253,"nla12_site_id","NLA12_ID-101",NA
253,"nla07_site_id","NLA06608-3121",NA
253,"nhdplus_comid","24189308",NA
253,"gnis_id","397875",NA
253,"lagoslakeid","464872",NA
253,"hylak_id","109578",NA
253,"nid_id","ID00255",NA
263,"nla17_site_id","NLA17_WA-10006",NA
263,"nla12_site_id","NLA12_WA-106",NA
263,"nla07_site_id","NLA06608-0721",NA
263,"nhdplus_comid","24252344",NA
263,"gnis_id","1529467",NA
263,"lagoslakeid","467585",NA
263,"hylak_id","1026592",NA
265,"nla17_site_id","NLA17_ID-10168",NA
265,"nhdplus_comid","23634788",NA
265,"gnis_id","381368",NA
265,"lagoslakeid","466359",NA
265,"hylak_id","1023145",NA
265,"nid_id","ID00146",NA
287,"nla17_site_id","NLA17_OR-10060",NA
287,"nla22_site_id","NLA22_OR-10042",NA
287,"nhdplus_comid","120052938",NA
287,"gnis_id","1125099",NA
287,"lagoslakeid","464222",NA
287,"hylak_id","9050",NA
287,"grand_id","386",NA
287,"nid_id","OR00582",NA
302,"nla17_site_id","NLA17_ID-10032",NA
302,"nla12_site_id","NLA12_ID-214",NA
302,"nhdplus_comid","23192245",NA
302,"lagoslakeid","463792",NA
302,"hylak_id","111430",NA
302,"nid_id","ID00233",NA
308,"nla17_site_id","NLA17_WA-10002",NA
308,"nla12_site_id","NLA12_WA-111",NA
308,"nla07_site_id","NLA06608-2833",NA
308,"nhdplus_comid","23078085",NA
308,"gnis_id","1527791",NA
308,"lagoslakeid","461289",NA
308,"hylak_id","1003151",NA
308,"nid_id","WA00321",NA
323,"nhdplus_comid","23265324",NA
323,"gnis_id","397930",NA
323,"lagoslakeid","463336",NA
323,"hylak_id","111024",NA
323,"nid_id","ID00024",NA
331,"nla17_site_id","NLA17_ID-10007",NA
331,"nla12_site_id","NLA12_ID-166",NA
331,"nhdplus_comid","24566893",NA
331,"lagoslakeid","463086",NA
331,"hylak_id","1049284",NA
999,"nla17_site_id","NLA17_WA-10038",NA
999,"nla12_site_id","NLA12_WA-151",NA
999,"nhdplus_comid","24260671",NA
999,"gnis_id","1516055",NA
999,"lagoslakeid","471746",NA
999,"hylak_id","8279",NA
999,"grand_id","43",NA
999,"nid_id","WA00173",NA
10,"nla17_site_id","NLA17_FL-10030",NA
10,"nla22_site_id","NLA22_FL-10019",NA
10,"nhdplus_comid","56038",NA
10,"lagoslakeid","201797",NA
10,"nhdplus_comid","56050",NA
10,"nhdplus_comid","56068",NA
10,"nhdplus_comid","56090",NA
16,"nla17_site_id","NLA17_VA-10002",NA
16,"nla12_site_id","NLA12_VA-106",NA
16,"nla07_site_id","NLA06608-0221",NA
16,"nhdplus_comid","10062717",NA
16,"gnis_id","1502049",NA
16,"lagoslakeid","145909",NA
16,"nid_id","VA095009",NA
44,"nla17_site_id","NLA17_SC-10027",NA
44,"nhdplus_comid","9164888",NA
44,"gnis_id","1222305",NA
44,"lagoslakeid","157615",NA
44,"hylak_id","1061366",NA
44,"nid_id","SC00028",NA
45,"nla17_site_id","NLA17_FL-10029",NA
45,"nla22_site_id","NLA22_FL-10018",NA
45,"nhdplus_comid","478125",NA
45,"gnis_id","282740",NA
45,"lagoslakeid","233591",NA
82,"nla17_site_id","NLA17_VA-10010",NA
82,"nla12_site_id","NLA12_VA-110",NA
82,"nhdplus_comid","4528811",NA
82,"gnis_id","1502074",NA
82,"lagoslakeid","143451",NA
82,"hylak_id","1057607",NA
82,"nid_id","VA153003",NA
98,"nla17_site_id","NLA17_NC-10030",NA
98,"nhdplus_comid","12036081",NA
98,"lagoslakeid","164519",NA
98,"hylak_id","112928",NA
98,"grand_id","1805",NA
98,"nid_id","NC01390",NA
102,"nla17_site_id","NLA17_NC-10004",NA
102,"nla12_site_id","NLA12_NC-109",NA
102,"nhdplus_comid","22163154",NA
102,"gnis_id","1017051",NA
102,"lagoslakeid","272935",NA
102,"hylak_id","1060692",NA
102,"nid_id","NC00197",NA
119,"nla17_site_id","NLA17_VA-10001",NA
119,"nla12_site_id","NLA12_VA-101",NA
119,"nla07_site_id","NLA06608-0045",NA
119,"nhdplus_comid","8606221",NA
119,"gnis_id","1489117",NA
119,"lagoslakeid","146300",NA
137,"nla17_site_id","NLA17_WV-10002",NA
137,"nla12_site_id","NLA12_WV-102",NA
137,"nla07_site_id","NLA06608-0681",NA
137,"nhdplus_comid","76669453",NA
137,"lagoslakeid","259075",NA
137,"hylak_id","112416",NA
137,"grand_id","1691",NA
137,"nid_id","WV00707",NA
138,"nla17_site_id","NLA17_NC-10023",NA
138,"nla22_site_id","NLA22_NC-10016",NA
138,"nhdplus_comid","8874182",NA
138,"lagoslakeid","156574",NA
138,"hylak_id","1060479",NA
275,"nla17_site_id","NLA17_AZ-10004",NA
275,"nla12_site_id","NLA12_AZ-102",NA
275,"nla07_site_id","NLA06608-0569",NA
275,"nhdplus_comid","20451100",NA
275,"gnis_id","36238",NA
275,"lagoslakeid","454810",NA
275,"hylak_id","1061426",NA
275,"nid_id","AZ00019",NA
288,"nla17_site_id","NLA17_AZ-10001",NA
288,"nla12_site_id","NLA12_AZ-101",NA
288,"nla07_site_id","NLA06608-0834",NA
288,"nhdplus_comid","20476542",NA
288,"gnis_id","33945",NA
288,"lagoslakeid","454700",NA
288,"hylak_id","113313",NA
288,"grand_id","652",NA
288,"nid_id","AZ10318",NA
291,"nla17_site_id","NLA17_CA-10011",NA
291,"nla12_site_id","NLA12_CA-188",NA
291,"nhdplus_comid","2803209",NA
291,"gnis_id","236920",NA
291,"lagoslakeid","480826",NA
291,"hylak_id","112601",NA
291,"grand_id","208",NA
291,"nid_id","CA01082",NA
296,"nla17_site_id","NLA17_CA-10081",NA
296,"nla22_site_id","NLA22_CA-10067",NA
